SMILES
*c1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
*c1ccc(N(c2ccccc2)c2cccc3ccccc23)cc1
*c1ccc(N(c2ccccc2)c2ccccc2)s1
*c1ccc(N(c2ccccc2)c2ccccc2)cc1
*c1ccc2c(c1)C(CCC(=O)OCCC(C)(C)C)(CCC(=O)OCCC(C)(C)C)c1cc(*)ccc1-2
*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(*)ccc1-2
*c1ccc2c(c1)-c1cc(*)ccc1C21c2ccc(*)cc2-c2cc(*)ccc21
*C1N(C)c2ccccc2C1(C)C
*c1cc(OCCCCCCBr)c(*)c(OCCCCCCBr)c1
*c1ccc2c(c1)C(CCCCCCBr)(CCCCCCBr)c1cc(*)ccc1-2
*c1cc2c(-c3cccs3)c3sc(*)cc3c(-c3cccs3)c2s1
*c1cc2c3c(cccc3c1)CN2CCCCS(*)(=O)=O
*c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1
*c1ccc(N(c2ccccc2)c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)cc1
*c1ccc(*)s1
*c1cc2cc3sc(*)cc3cc2s1
*c1cc2c(s1)-c1sc(*)cc1C2(C)C
*c1cc2cc3c(OC)c4sc(*)cc4cc3c(OC)c2s1
*c1sc(*)c2c1OCCO2
*c1ccc(-c2cc3cccc4cc(-c5ccc(*)cc5)c5ccc2n5c34)cc1
*N(c1ccccc1)c1ccccc1
